Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
382.3;3.955;0.000;MANUAL;OFF;OFF;1
383.3;3.954;0.000;MANUAL;OFF;OFF;1
384.2;3.951;0.000;MANUAL;OFF;OFF;1
385.3;3.951;0.000;MANUAL;OFF;OFF;1
386.3;3.949;0.000;MANUAL;OFF;OFF;1
387.3;3.947;0.000;MANUAL;OFF;OFF;1
388.3;3.945;0.000;MANUAL;OFF;OFF;1
389.3;3.943;0.000;MANUAL;OFF;OFF;1
390.4;3.941;0.000;MANUAL;OFF;OFF;1
391.4;3.940;0.000;MANUAL;OFF;OFF;1
392.3;3.938;0.000;MANUAL;OFF;OFF;1
393.4;3.938;0.000;MANUAL;OFF;OFF;1
394.4;3.936;0.000;MANUAL;OFF;OFF;1
395.4;3.934;0.000;MANUAL;OFF;OFF;1
396.4;3.933;0.000;MANUAL;OFF;OFF;1
397.4;3.931;0.000;MANUAL;OFF;OFF;1
398.5;3.929;0.000;MANUAL;OFF;OFF;1
399.3;3.928;0.000;MANUAL;OFF;OFF;1
400.4;3.927;0.000;MANUAL;OFF;OFF;1
401.5;3.927;0.000;MANUAL;OFF;OFF;1
402.5;3.926;0.000;MANUAL;OFF;OFF;1
403.5;3.924;0.000;MANUAL;OFF;OFF;1
404.5;3.922;0.000;MANUAL;OFF;OFF;1
405.5;3.921;0.000;MANUAL;OFF;OFF;1
406.5;3.920;0.000;MANUAL;OFF;OFF;1
407.4;3.919;0.000;MANUAL;OFF;OFF;1
408.5;3.918;0.000;MANUAL;OFF;OFF;1
409.6;3.918;0.000;MANUAL;OFF;OFF;1
410.6;3.916;0.000;MANUAL;OFF;OFF;1
411.6;3.915;0.000;MANUAL;OFF;OFF;1
412.6;3.914;0.000;MANUAL;OFF;OFF;1
413.6;3.912;0.000;MANUAL;OFF;OFF;1
414.7;3.912;0.000;MANUAL;OFF;OFF;1
415.5;3.910;0.000;MANUAL;OFF;OFF;1
416.7;3.909;0.000;MANUAL;OFF;OFF;1
417.7;3.909;0.000;MANUAL;OFF;OFF;1
418.7;3.908;0.000;MANUAL;OFF;OFF;1
419.7;3.907;0.000;MANUAL;OFF;OFF;1
420.7;3.907;0.000;MANUAL;OFF;OFF;1
421.7;3.905;0.000;MANUAL;OFF;OFF;1
422.7;3.904;0.000;MANUAL;OFF;OFF;1
423.6;3.903;0.000;MANUAL;OFF;OFF;1
424.8;3.903;0.000;MANUAL;OFF;OFF;1
425.8;3.902;0.000;MANUAL;OFF;OFF;1
