Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
164.4;4.185;0.000;AUTO;ON;OFF
165.5;4.185;0.000;AUTO;ON;OFF
165.5;4.185;0.000;AUTO;ON;OFF
166.6;4.185;0.000;AUTO;ON;OFF
166.6;4.186;0.000;AUTO;ON;OFF
167.6;4.186;0.000;AUTO;ON;OFF
167.8;4.185;0.000;AUTO;ON;OFF
168.7;4.185;0.000;AUTO;ON;OFF
168.9;4.186;0.000;AUTO;ON;OFF
169.8;4.186;0.000;AUTO;ON;OFF
170.1;4.186;0.000;AUTO;ON;OFF
170.9;4.186;0.000;AUTO;ON;OFF
171.2;4.186;0.000;AUTO;ON;OFF
172.0;4.186;0.000;AUTO;ON;OFF
172.4;4.186;0.000;AUTO;ON;OFF
173.0;4.186;0.000;AUTO;ON;OFF
173.6;4.185;0.000;AUTO;ON;OFF
174.1;4.185;0.000;AUTO;ON;OFF
174.7;4.186;0.000;AUTO;ON;OFF
175.2;4.186;0.000;AUTO;ON;OFF
175.9;4.186;0.000;AUTO;ON;OFF
176.3;4.186;0.000;AUTO;ON;OFF
177.0;4.187;0.000;AUTO;ON;OFF
177.3;4.187;0.000;AUTO;ON;OFF
178.2;4.186;0.000;AUTO;ON;OFF
178.4;4.186;0.000;AUTO;ON;OFF
179.4;4.186;0.000;AUTO;ON;OFF
179.5;4.186;0.000;AUTO;ON;OFF
180.6;4.186;0.000;AUTO;ON;OFF
180.6;4.186;0.000;AUTO;ON;OFF
181.7;4.186;0.000;AUTO;ON;OFF
181.7;4.188;0.000;AUTO;ON;OFF
182.7;4.188;0.000;AUTO;ON;OFF
182.8;4.186;0.000;AUTO;ON;OFF
183.8;4.186;0.000;AUTO;ON;OFF
184.0;4.186;0.000;AUTO;ON;OFF
184.9;4.186;0.000;AUTO;ON;OFF
185.2;4.188;0.000;AUTO;ON;OFF
185.9;4.188;0.000;AUTO;ON;OFF
186.3;4.186;0.000;AUTO;ON;OFF
187.0;4.186;0.000;AUTO;ON;OFF
187.5;4.186;0.000;AUTO;ON;OFF
188.1;4.186;0.000;AUTO;ON;OFF
188.6;4.186;0.000;AUTO;ON;OFF
189.2;4.186;0.000;AUTO;ON;OFF
189.8;4.187;0.000;AUTO;ON;OFF
190.3;4.187;0.000;AUTO;ON;OFF
191.0;4.188;0.000;AUTO;ON;OFF
191.4;4.188;0.000;AUTO;ON;OFF
192.1;4.188;0.000;AUTO;ON;OFF
192.4;4.188;0.000;AUTO;ON;OFF
193.3;4.188;0.000;AUTO;ON;OFF
193.5;4.188;0.000;AUTO;ON;OFF
194.5;4.189;0.000;AUTO;ON;OFF
194.6;4.189;0.000;AUTO;ON;OFF
195.6;4.188;0.000;AUTO;ON;OFF
195.7;4.188;0.000;AUTO;ON;OFF
196.7;4.188;0.000;AUTO;ON;OFF
196.8;4.188;0.000;AUTO;ON;OFF
197.8;4.188;0.000;AUTO;ON;OFF
197.9;4.188;0.000;AUTO;ON;OFF
198.9;4.188;0.000;AUTO;ON;OFF
199.1;4.188;0.000;AUTO;ON;OFF
200.0;4.188;0.000;AUTO;ON;OFF
200.3;4.187;0.000;AUTO;ON;OFF
201.1;4.187;0.000;AUTO;ON;OFF
201.4;4.186;0.000;AUTO;ON;OFF
202.1;4.186;0.000;AUTO;ON;OFF
202.6;4.186;0.000;AUTO;ON;OFF
203.2;4.186;0.000;AUTO;ON;OFF
203.7;4.188;0.000;AUTO;ON;OFF
204.3;4.188;0.000;AUTO;ON;OFF
204.9;4.188;0.000;AUTO;ON;OFF
205.4;4.188;0.000;AUTO;ON;OFF
206.0;4.188;0.000;AUTO;ON;OFF
206.4;4.188;0.000;AUTO;ON;OFF
207.2;4.186;0.000;AUTO;ON;OFF
207.5;4.186;0.000;AUTO;ON;OFF
208.4;4.187;0.000;AUTO;ON;OFF
208.6;4.187;0.000;AUTO;ON;OFF
209.5;4.187;0.000;AUTO;ON;OFF
209.7;4.187;0.000;AUTO;ON;OFF
210.7;4.187;0.000;AUTO;ON;OFF
210.8;4.187;0.000;AUTO;ON;OFF
211.8;4.187;0.000;AUTO;ON;OFF
211.9;4.188;0.000;AUTO;ON;OFF
212.9;4.188;0.000;AUTO;ON;OFF
213.0;4.188;0.000;AUTO;ON;OFF
214.0;4.188;0.000;AUTO;ON;OFF
214.2;4.187;0.000;AUTO;ON;OFF
215.0;4.187;0.000;AUTO;ON;OFF
215.3;4.188;0.000;AUTO;ON;OFF
216.1;4.188;0.000;AUTO;ON;OFF
216.5;4.188;0.000;AUTO;ON;OFF
217.2;4.188;0.000;AUTO;ON;OFF
217.6;4.188;0.000;AUTO;ON;OFF
218.2;4.188;0.000;AUTO;ON;OFF
218.8;4.189;0.000;AUTO;ON;OFF
219.3;4.189;0.000;AUTO;ON;OFF
220.0;4.190;0.000;AUTO;ON;OFF
220.4;4.190;0.000;AUTO;ON;OFF
221.1;4.188;0.000;AUTO;ON;OFF
221.4;4.188;0.000;AUTO;ON;OFF
222.3;4.188;0.000;AUTO;ON;OFF
222.5;4.188;0.000;AUTO;ON;OFF
223.5;4.188;0.000;AUTO;ON;OFF
223.6;4.188;0.000;AUTO;ON;OFF
224.6;4.188;0.000;AUTO;ON;OFF
224.7;4.188;0.000;AUTO;ON;OFF
225.8;4.188;0.000;AUTO;ON;OFF
225.8;4.188;0.000;AUTO;ON;OFF
226.8;4.188;0.000;AUTO;ON;OFF
226.9;4.188;0.000;AUTO;ON;OFF
227.9;4.188;0.000;AUTO;ON;OFF
228.1;4.190;0.000;AUTO;ON;OFF
229.0;4.190;0.000;AUTO;ON;OFF
229.3;4.188;0.000;AUTO;ON;OFF
230.0;4.188;0.000;AUTO;ON;OFF
230.4;4.188;0.000;AUTO;ON;OFF
231.1;4.188;0.000;AUTO;ON;OFF
231.6;4.190;0.000;AUTO;ON;OFF
232.2;4.190;0.000;AUTO;ON;OFF
232.7;4.190;0.000;AUTO;ON;OFF
233.3;4.190;0.000;AUTO;ON;OFF
233.9;4.188;0.000;AUTO;ON;OFF
234.3;4.188;0.000;AUTO;ON;OFF
235.0;4.188;0.000;AUTO;ON;OFF
235.4;4.188;0.000;AUTO;ON;OFF
236.2;4.189;0.000;AUTO;ON;OFF
236.5;4.189;0.000;AUTO;ON;OFF
237.4;4.190;0.000;AUTO;ON;OFF
237.5;4.190;0.000;AUTO;ON;OFF
238.5;4.190;0.000;AUTO;ON;OFF
238.6;4.190;0.000;AUTO;ON;OFF
239.7;4.190;0.000;AUTO;ON;OFF
239.7;4.190;0.000;AUTO;ON;OFF
240.8;4.190;0.000;AUTO;ON;OFF
240.9;4.189;0.000;AUTO;ON;OFF
241.8;4.189;0.000;AUTO;ON;OFF
242.0;4.189;0.000;AUTO;ON;OFF
242.9;4.189;0.000;AUTO;ON;OFF
243.2;4.189;0.000;AUTO;ON;OFF
244.0;4.189;0.000;AUTO;ON;OFF
244.3;4.190;0.000;AUTO;ON;OFF
245.1;4.190;0.000;AUTO;ON;OFF
245.5;4.188;0.000;AUTO;ON;OFF
246.2;4.188;0.000;AUTO;ON;OFF
246.6;4.188;0.000;AUTO;ON;OFF
247.2;4.188;0.000;AUTO;ON;OFF
247.8;4.189;0.000;AUTO;ON;OFF
248.3;4.189;0.000;AUTO;ON;OFF
249.0;4.188;0.000;AUTO;ON;OFF
249.4;4.188;0.000;AUTO;ON;OFF
250.1;4.188;0.000;AUTO;ON;OFF
250.5;4.188;0.000;AUTO;ON;OFF
251.3;4.189;0.000;AUTO;ON;OFF
251.5;4.189;0.000;AUTO;ON;OFF
252.5;4.190;0.000;AUTO;ON;OFF
252.6;4.190;0.000;AUTO;ON;OFF
253.7;4.190;0.000;AUTO;ON;OFF
253.7;4.190;0.000;AUTO;ON;OFF
254.7;4.190;0.000;AUTO;ON;OFF
254.8;4.190;0.000;AUTO;ON;OFF
255.8;4.190;0.000;AUTO;ON;OFF
255.9;4.189;0.000;AUTO;ON;OFF
256.9;4.189;0.000;AUTO;ON;OFF
257.1;4.190;0.000;AUTO;ON;OFF
258.0;4.190;0.000;AUTO;ON;OFF
258.3;4.190;0.000;AUTO;ON;OFF
259.1;4.190;0.000;AUTO;ON;OFF
259.4;4.190;0.000;AUTO;ON;OFF
260.1;4.190;0.000;AUTO;ON;OFF
260.6;4.190;0.000;AUTO;ON;OFF
261.2;4.190;0.000;AUTO;ON;OFF
261.7;4.190;0.000;AUTO;ON;OFF
262.3;4.190;0.000;AUTO;ON;OFF
262.9;4.189;0.000;AUTO;ON;OFF
263.4;4.189;0.000;AUTO;ON;OFF
264.1;4.190;0.000;AUTO;ON;OFF
264.4;4.190;0.000;AUTO;ON;OFF
265.2;4.190;0.000;AUTO;ON;OFF
265.5;4.190;0.000;AUTO;ON;OFF
266.4;4.190;0.000;AUTO;ON;OFF
266.6;4.190;0.000;AUTO;ON;OFF
267.5;4.189;0.000;AUTO;ON;OFF
267.7;4.189;0.000;AUTO;ON;OFF
268.7;4.190;0.000;AUTO;ON;OFF
268.8;4.190;0.000;AUTO;ON;OFF
269.8;4.190;0.000;AUTO;ON;OFF
269.9;4.190;0.000;AUTO;ON;OFF
270.9;4.190;0.000;AUTO;ON;OFF
271.0;4.189;0.000;AUTO;ON;OFF
272.0;4.189;0.000;AUTO;ON;OFF
