Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
155.3;3.551;0.093;MANUAL;OFF;ON
156.0;3.550;0.066;MANUAL;OFF;ON
156.4;3.550;0.066;MANUAL;OFF;ON
157.1;3.549;0.000;MANUAL;OFF;ON
157.4;3.549;0.000;MANUAL;OFF;ON
158.3;3.548;0.096;MANUAL;OFF;ON
158.5;3.548;0.096;MANUAL;OFF;ON
159.4;3.547;0.145;MANUAL;OFF;ON
159.6;3.547;0.145;MANUAL;OFF;ON
160.6;3.547;0.140;MANUAL;OFF;ON
160.7;3.547;0.140;MANUAL;OFF;ON
161.7;3.547;0.140;MANUAL;OFF;ON
161.8;3.544;0.102;MANUAL;OFF;ON
162.8;3.544;0.102;MANUAL;OFF;ON
162.9;3.544;0.113;MANUAL;OFF;ON
163.9;3.544;0.113;MANUAL;OFF;ON
164.1;3.543;0.170;MANUAL;OFF;ON
165.0;3.543;0.170;MANUAL;OFF;ON
165.2;3.542;0.127;MANUAL;OFF;ON
166.1;3.542;0.127;MANUAL;OFF;ON
166.4;3.540;0.096;MANUAL;OFF;ON
167.1;3.540;0.096;MANUAL;OFF;ON
167.6;3.540;0.084;MANUAL;OFF;ON
168.2;3.540;0.084;MANUAL;OFF;ON
168.7;3.538;0.142;MANUAL;OFF;ON
169.3;3.538;0.142;MANUAL;OFF;ON
169.9;3.538;0.073;MANUAL;OFF;ON
170.4;3.538;0.073;MANUAL;OFF;ON
171.0;3.536;0.082;MANUAL;OFF;ON
171.4;3.536;0.082;MANUAL;OFF;ON
172.2;3.503;0.224;MANUAL;OFF;ON
172.5;3.503;0.224;MANUAL;OFF;ON
173.4;3.465;0.245;MANUAL;OFF;ON
173.6;3.465;0.245;MANUAL;OFF;ON
174.5;3.449;0.341;MANUAL;OFF;ON
174.6;3.449;0.341;MANUAL;OFF;ON
175.7;3.446;0.348;MANUAL;OFF;ON
175.7;3.446;0.348;MANUAL;OFF;ON
176.8;3.446;0.348;MANUAL;OFF;ON
176.9;3.443;0.352;MANUAL;OFF;ON
177.9;3.443;0.352;MANUAL;OFF;ON
178.0;3.440;0.395;MANUAL;OFF;ON
179.0;3.440;0.395;MANUAL;OFF;ON
179.2;3.439;0.304;MANUAL;OFF;ON
180.0;3.439;0.304;MANUAL;OFF;ON
180.3;3.436;0.285;MANUAL;OFF;ON
181.1;3.436;0.285;MANUAL;OFF;ON
181.5;3.433;0.317;MANUAL;OFF;ON
182.2;3.433;0.317;MANUAL;OFF;ON
182.6;3.431;0.345;MANUAL;OFF;ON
183.2;3.431;0.345;MANUAL;OFF;ON
183.8;3.428;0.329;MANUAL;OFF;ON
184.3;3.428;0.329;MANUAL;OFF;ON
185.0;3.426;0.337;MANUAL;OFF;ON
185.4;3.426;0.337;MANUAL;OFF;ON
186.1;3.424;0.356;MANUAL;OFF;ON
186.5;3.424;0.356;MANUAL;OFF;ON
187.3;3.421;0.346;MANUAL;OFF;ON
187.5;3.421;0.346;MANUAL;OFF;ON
188.4;3.417;0.402;MANUAL;OFF;ON
188.6;3.417;0.402;MANUAL;OFF;ON
189.6;3.416;0.396;MANUAL;OFF;ON
189.7;3.416;0.396;MANUAL;OFF;ON
190.7;3.416;0.396;MANUAL;OFF;ON
190.8;3.414;0.388;MANUAL;OFF;ON
191.8;3.414;0.388;MANUAL;OFF;ON
191.9;3.412;0.378;MANUAL;OFF;ON
192.9;3.412;0.378;MANUAL;OFF;ON
193.1;3.409;0.478;MANUAL;OFF;ON
194.0;3.409;0.478;MANUAL;OFF;ON
194.2;3.406;0.335;MANUAL;OFF;ON
195.0;3.406;0.335;MANUAL;OFF;ON
195.4;3.404;0.322;MANUAL;OFF;ON
196.1;3.404;0.322;MANUAL;OFF;ON
196.6;3.402;0.360;MANUAL;OFF;ON
197.2;3.402;0.360;MANUAL;OFF;ON
197.7;3.399;0.446;MANUAL;OFF;ON
198.2;3.399;0.446;MANUAL;OFF;ON
198.9;3.398;0.375;MANUAL;OFF;ON
199.3;3.398;0.375;MANUAL;OFF;ON
200.0;3.395;0.381;MANUAL;OFF;ON
200.4;3.395;0.381;MANUAL;OFF;ON
201.2;3.393;0.406;MANUAL;OFF;ON
201.5;3.393;0.406;MANUAL;OFF;ON
202.4;3.388;0.414;MANUAL;OFF;ON
202.5;3.388;0.414;MANUAL;OFF;ON
203.5;3.386;0.382;MANUAL;OFF;ON
203.6;3.386;0.382;MANUAL;OFF;ON
204.7;3.384;0.000;MANUAL;OFF;ON
204.7;3.384;0.000;MANUAL;OFF;ON
205.8;3.384;0.000;MANUAL;OFF;ON
205.8;3.381;0.170;MANUAL;OFF;ON
206.8;3.381;0.170;MANUAL;OFF;ON
207.0;3.380;0.221;MANUAL;OFF;ON
207.9;3.380;0.221;MANUAL;OFF;ON
208.2;3.378;0.193;MANUAL;OFF;ON
209.0;3.378;0.193;MANUAL;OFF;ON
209.3;3.376;0.272;MANUAL;OFF;ON
210.0;3.376;0.272;MANUAL;OFF;ON
210.5;3.373;0.310;MANUAL;OFF;ON
211.1;3.373;0.310;MANUAL;OFF;ON
211.6;3.371;0.256;MANUAL;OFF;ON
212.2;3.371;0.256;MANUAL;OFF;ON
212.8;3.369;0.058;MANUAL;OFF;ON
213.3;3.369;0.058;MANUAL;OFF;ON
214.0;3.473;0.000;MANUAL;OFF;ON
214.3;3.473;0.000;MANUAL;OFF;ON
